1,To Kill a Mockingbird,Harper Lee,Fiction,1
2,1984,George Orwell,Dystopian,1
3,The Great Gatsby,F. Scott Fitzgerald,Classic,1
4,Pride and Prejudice,Jane Austen,Romance,1
5,The Hobbit,J.R.R. Tolkien,Fantasy,1
6,Don Quixote,Miguel de Cervantes,Classic,1
7,Ulysses,James Joyce,Modernist,1
8,The Divine Comedy,Dante Alighieri,Epic Poetry,1
9,The Brothers Karamazov,Fyodor Dostoevsky,Philosophical Fiction,1
10,War and Peace,Leo Tolstoy,Historical Fiction,1
11,Hamlet,William Shakespeare,Tragedy,1
12,Moby Dick,Herman Melville,Adventure,1
13,In Search of Lost Time,Marcel Proust,Modernist,1
14,One Hundred Years of Solitude,Gabriel Garcia Marquez,Magical Realism,1
15,The Odyssey,Homer,Epic Poetry,1
16,The Iliad,Homer,Epic Poetry,1
17,Crime and Punishment,Fyodor Dostoevsky,Psychological Fiction,1
18,Madame Bovary,Gustave Flaubert,Realism,1
19,The Adventures of Huckleberry Finn,Mark Twain,Adventure,1
20,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy,1
21,The Lord of the Rings,J.R.R. Tolkien,Fantasy,1
22,Anna Karenina,Leo Tolstoy,Realism,1
23,Les Misérables,Victor Hugo,Historical Fiction,1
24,Wuthering Heights,Emily Brontë,Gothic Fiction,1
25,Jane Eyre,Charlotte Brontë,Gothic Fiction,1
26,The Catcher in the Rye,J.D. Salinger,Coming-of-age Fiction,1
27,Great Expectations,Charles Dickens,Victorian Literature,1
28,Little Women,Louisa May Alcott,Coming-of-age Fiction,1
29,Brave New World,Aldous Huxley,Dystopian,1
30,The Grapes of Wrath,John Steinbeck,Realism,1
31,The Trial,Franz Kafka,Philosophical Fiction,1
32,The Stranger,Albert Camus,Philosophical Fiction,1
33,A Tale of Two Cities,Charles Dickens,Historical Fiction,1
34,David Copperfield,Charles Dickens,Victorian Literature,1
35,The Picture of Dorian Gray,Oscar Wilde,Gothic Fiction,1
